iter	Passed	Remaining
0	347	34357
1	462	22640
2	566	18311
3	777	18665
4	978	18587
5	1163	18221
6	1355	18009
7	1557	17909
8	1645	16641
9	1839	16557
10	2068	16733
11	2229	16347
12	2360	15798
13	2499	15355
14	2567	14551
15	2731	14339
16	2849	13911
17	2885	13143
18	3013	12848
19	3197	12789
20	3301	12418
21	3386	12006
22	3579	11982
23	3784	11984
24	3977	11931
25	4102	11676
26	4278	11566
27	4594	11815
28	4986	12208
29	5123	11955
30	5276	11743
31	5355	11381
32	5515	11197
33	5662	10992
34	5914	10983
35	6028	10717
36	6119	10419
37	6236	10175
38	6413	10030
39	6603	9904
40	6762	9730
41	6933	9575
42	7018	9303
43	7146	9095
44	7386	9028
45	7483	8785
46	7520	8480
47	7563	8193
48	7761	8077
49	7885	7885
50	7951	7639
51	8010	7394
52	8175	7250
53	8360	7122
54	8452	6915
55	8593	6752
56	8695	6559
57	8879	6429
58	8937	6210
59	9049	6033
60	9317	5956
61	9502	5823
62	9713	5704
63	9852	5541
64	10041	5407
65	10337	5325
66	10691	5266
67	10977	5165
68	11199	5031
69	11385	4879
70	11573	4727
71	11700	4550
72	11869	4390
73	12061	4237
74	12230	4076
75	12339	3896
76	12501	3734
77	12636	3564
78	12833	3411
79	13012	3253
80	13267	3112
81	13473	2957
82	13680	2802
83	13936	2654
84	14039	2477
85	14236	2317
86	14377	2148
87	14557	1985
88	14713	1818
89	14899	1655
90	15060	1489
91	15230	1324
92	15340	1154
93	15473	987
94	15596	820
95	15755	656
96	15902	491
97	16037	327
98	16195	163
99	16336	0
